inci_name,pubchem_cid,ghs_classification,topical_use_note,irritant_or_sensitizer_flag,source_url
Glycolic Acid,757,"[GHS Classification] This chemical does not meet GHS hazard criteria for 0.3% (10  of 3312) of reports. | [GHS Classification]            | [GHS Classification] Danger | [GHS Classification] H302 (82.6%): Harmful if swallowed [Warning Acute toxicity, oral]; H314 (99.7%): Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]; H318 (28.5%): Causes serious eye damage [Danger Serious eye damage/eye irritation]; H332 (30.6%): Harmful if inhaled [Warning Acute toxicity, inhalation","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Cosmetic ingredients (Glycolic Acid) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Buffering | [MeSH Pharmacological Classification] Agents that soften, separate, and cause desquamation of the cornified epithelium or horny layer of skin. They are used to expose mycelia of infecting fungi or to treat corns, warts, and certain other skin diseases. | [Absorption, Distribution and Excr",yes,https://pubchem.ncbi.nlm.nih.gov/compound/757
Lactic Acid,612,"[GHS Classification] This chemical does not meet GHS hazard criteria for 0.2% (5  of 2808) of reports. | [GHS Classification]            | [GHS Classification] Danger | [GHS Classification] H314 (11.8%): Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]; H315 (87.5%): Causes skin irritation [Warning Skin corrosion/irritation]; H318 (91.9%): Causes serious eye damage [Danger Serious eye damage/eye irritation] | [GHS Classification] P260, P264, P264+P265, P280, P301+P330+P","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Cosmetic ingredients (Lactic Acid) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Skin conditioning; Humectant; Buffering | [Pharmacodynamics] Lactic acid produces a metabolic alkalinizing effect. | [FDA Pharmacological Classification] 33X04XA5AT | [FDA Pharmacological Classification] LACTIC ACID, UNSPECIFIED FORM | [FDA Pharmacological Classification] Mechanisms of Action [MoA] - A",yes,https://pubchem.ncbi.nlm.nih.gov/compound/612
Mandelic Acid,1292,"[GHS Classification] This chemical does not meet GHS hazard criteria for 25.3% (66  of 261) of reports. | [GHS Classification]            | [GHS Classification] Danger | [GHS Classification] H302 (23.4%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (23.8%): Causes skin irritation [Warning Skin corrosion/irritation]; H318 (72.8%): Causes serious eye damage [Danger Serious eye damage/eye irritation]; H335 (23.4%): May cause respiratory irritation [Warning Specific target organ toxici","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Antimicrobial | [ATC Code] J - Antiinfectives for systemic use; J01 - Antibacterials for systemic use; J01X - Other antibacterials; J01XX - Other antibacterials; J01XX06 - Mandelic acid | [ATC Code] B - Blood and blood forming organs; B05 - Blood substitutes and perfusion solutions; B05C - Irrigating solutions; B05CA - Antiinfectives; B05CA06 - Mandelic acid | [ATC Code] QB - Blood and",yes,https://pubchem.ncbi.nlm.nih.gov/compound/1292
Benzoyl Peroxide,7187,"[GHS Classification]            | [GHS Classification] Danger | [GHS Classification] H241: Heating may cause a fire or explosion [Danger Self-reactive substances and mixtures; Organic peroxides]; H317: May cause an allergic skin reaction [Warning Sensitization, Skin]; H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H400: Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H410: Very toxic to aquatic life with long lasting effe","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Pharmacodynamics] Benzoyl peroxide is a topical treatment for acne that generates free radicals to break down comedones and increase the rate of epithelial cell turnover. It has a short duration of action as its active free radical metabolites quickly react to form inactive metabolites. The therapeutic index is wide, as overdoses are rare, however patients may still experience skin peeling. Patie",yes,https://pubchem.ncbi.nlm.nih.gov/compound/7187
Azelaic Acid,2266,"[GHS Classification] This chemical does not meet GHS hazard criteria for 6.5% (71  of 1087) of reports. | [GHS Classification]            | [GHS Classification] Warning | [GHS Classification] H315 (40.2%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (93.4%): Causes serious eye irritation [Warning Serious eye damage/eye irritation] | [GHS Classification] P264, P264+P265, P280, P302+P352, P305+P351+P338, P321, P332+P317, P337+P317, and P362+P364 (click each P-code to see the s","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Cosmetic ingredients (Azelaic Acid) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Buffering | [Pharmacodynamics] Azelaic acid is a saturated dicarboxylic acid found naturally in wheat, rye, and barley. It is a natural substance that is produced by <i>Malassezia furfur</i> (also known as <i>Pityrosporum ovale</i>), a yeast that lives on normal skin. It is effective against a number ",yes,https://pubchem.ncbi.nlm.nih.gov/compound/2266
Hyaluronic Acid,24847767,No GHS classification data found on PubChem,,not stated,https://pubchem.ncbi.nlm.nih.gov/compound/24847767
Sodium Hyaluronate,3084049,No GHS classification data found on PubChem,,not stated,https://pubchem.ncbi.nlm.nih.gov/compound/3084049
Ceramide NP,57378373,"[GHS Classification] This chemical does not meet GHS hazard criteria for 100% (13 of 13) of all reports. | [GHS Classification] Not Classified; Reported as not meeting GHS hazard criteria by 13 of 13 companies. For more detailed information, please visit  ECHA C&L website. | [GHS Classification] Aggregated GHS information provided per 13 reports by companies from 1 notifications to the ECHA C&L Inventory.; Reported as not meeting GHS hazard criteria per 13 of 13 reports by companies.; There are ",[Cosmetics] Cosmetic ingredients (Ceramide NP) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Skin conditioning; Skin protecting | [Uses] CIR ingredient: Ceramide NP | [Use Classification] Cosmetics -> Skin conditioning; Skin protecting,no,https://pubchem.ncbi.nlm.nih.gov/compound/57378373
Ceramide EOP,76966617,No GHS classification data found on PubChem,[Cosmetics] Cosmetic ingredients (Ceramide EOP) -> CIR (Cosmetic Ingredient Review) | [Uses] CIR ingredient: Ceramide EOP,not stated,https://pubchem.ncbi.nlm.nih.gov/compound/76966617
Ceramide AP,44625889,"[GHS Classification] This chemical does not meet GHS hazard criteria for 100% (8 of 8) of all reports. | [GHS Classification] Not Classified; Reported as not meeting GHS hazard criteria by 8 of 8 companies. For more detailed information, please visit  ECHA C&L website. | [GHS Classification] Aggregated GHS information provided per 8 reports by companies from 1 notifications to the ECHA C&L Inventory.; Reported as not meeting GHS hazard criteria per 8 of 8 reports by companies.; There are 0 notif",[Cosmetics] Cosmetic ingredients (Ceramide 6 II) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Cosmetic ingredients (Ceramide AP) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Hair conditioning; Skin conditioning | [Uses] CIR ingredient: Ceramide 6 II | [Uses] CIR ingredient: Ceramide AP | [Use Classification] Cosmetics -> Hair conditioning; Skin conditioning,no,https://pubchem.ncbi.nlm.nih.gov/compound/44625889
Palmitoyl Pentapeptide-4,9897237,"[GHS Classification] This chemical does not meet GHS hazard criteria for 100% (37 of 37) of all reports. | [GHS Classification] Not Classified; Reported as not meeting GHS hazard criteria by 37 of 37 companies. For more detailed information, please visit  ECHA C&L website. | [GHS Classification] Aggregated GHS information provided per 37 reports by companies from 1 notifications to the ECHA C&L Inventory.; Reported as not meeting GHS hazard criteria per 37 of 37 reports by companies.; There are ",[Cosmetics] Cosmetic ingredients (Palmitoyl Pentapeptide-4) -> CIR (Cosmetic Ingredient Review) | [Uses] CIR ingredient: Palmitoyl Pentapeptide-4 | [Household Products] Information on 35 consumer products that contain Palmitoyl Pentapeptide-4 in the following categories is provided:; • Personal Care,no,https://pubchem.ncbi.nlm.nih.gov/compound/9897237
Copper Tripeptide-1,71587328,No GHS classification data found on PubChem,"[Cosmetics] Cosmetic ingredients (Copper Tripeptide-1) -> CIR (Cosmetic Ingredient Review) | [Pharmacodynamics] Prezatide in complex with copper improve skin elasticity, density, and firmness, reduces fine lines and wrinkles, reduces photodamage, increases keratinocyte proliferation. Prezatide also displays anti-oxidant and angiogenic effects and appears to modulate tissue remodeling in injury. | ",not stated,https://pubchem.ncbi.nlm.nih.gov/compound/71587328
Alpha-Arbutin,158637,"[GHS Classification]            | [GHS Classification] Warning | [GHS Classification] H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral] | [GHS Classification] P264, P270, P301+P317, P330, and P501 (click each P-code to see the statement) | [GHS Classification] Aggregated GHS information provided per 53 reports by companies from 1 notifications to the ECHA C&L Inventory.; Information may vary between notifications depending on impurities, additives, and other factors. The percentag",,no,https://pubchem.ncbi.nlm.nih.gov/compound/158637
Tranexamic Acid,5526,"[GHS Classification]            | [GHS Classification] Warning | [GHS Classification] H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation] | [GHS Classification] P264+P265, P280, P305+P351+P338, and P337+P317 (click each P-code to see the statement) | [GHS Classification] Aggregated GHS information provided per 39 reports by companies from 1 notifications to the ECHA C&L Inventory.; Information may vary between notifications depending on impurities, additives, a","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Astringent | [ATC Code] B02AA02 | [Use Classification] Cosmetics -> Astringent | [Use Classification] Pharmaceuticals -> Animal Drugs -> Approved in Taiwan",yes,https://pubchem.ncbi.nlm.nih.gov/compound/5526
Kojic Acid,3840,"[GHS Classification] This chemical does not meet GHS hazard criteria for 86.2% (69 of 80) of all reports. | [GHS Classification]            | [GHS Classification] Warning | [GHS Classification] H351 (13.8%): Suspected of causing cancer [Warning Carcinogenicity] | [GHS Classification] P203, P280, P318, P405, and P501 (click each P-code to see the statement) | [GHS Classification] Aggregated GHS information provided per 80 reports by companies from 4 notifications to the ECHA C&L Inventory.; Repor",[Cosmetics] Cosmetic ingredients (Kojic Acid) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Antioxidant | [MeSH Pharmacological Classification] Naturally occurring or synthetic substances that inhibit or retard oxidation reactions. They counteract the damaging effects of oxidation in animal tissues. | [Metabolism/Metabolites] The structure of kojic acid indicates a relatively simple route of m,no,https://pubchem.ncbi.nlm.nih.gov/compound/3840
