inci_name,active_family,cosing_function,cas_number,common_synonyms,brief_description,source_url
Ceramide AP,Ceramides,Skin conditioning; Emollient,,Ceramide 6-II,Barrier ceramide commonly included in multi-ceramide complexes.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Ceramide EOP,Ceramides,Skin conditioning; Emollient,,Ceramide 1,Long-chain barrier ceramide used in skin-lipid replacement systems.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Ceramide NP,Ceramides,Skin conditioning - occlusive (general family function; not individually confirmed in CosIng search),100403-19-8,Ceramide 3; CeraVe Ceramide 3,"One of the most abundant ceramides in the skin's own lipid barrier; replenishes barrier lipids to reduce water loss and improve barrier repair. Data here is PubChem/industry-sourced,  not directly confirmed via CosIng search.",https://pubchem.ncbi.nlm.nih.gov/compound/Ceramide-NP
Disodium EDTA,Chelators,Chelating,139-33-3,Edetate Disodium,Chelator that binds metal ions to improve formula stability and preservation.,https://pubchem.ncbi.nlm.nih.gov/compound/8759
Sodium Phytate,Chelators,Chelating,14306-25-3,Phytic Acid Sodium Salt,Chelating agent often used as an alternative to EDTA systems.,https://pubchem.ncbi.nlm.nih.gov/compound/23675791
Tetrasodium EDTA,Chelators,Chelating,64-02-8,Edetate Tetrasodium,Chelating agent used to improve stability and preservative performance.,https://pubchem.ncbi.nlm.nih.gov/compound/6144
Sodium Gluconate,Chelators / Humectants,Chelating; Humectant,527-07-1,Gluconic Acid Sodium Salt,Chelator and humectant used to improve stability in water-based formulas.,https://pubchem.ncbi.nlm.nih.gov/compound/23672301
C12-15 Alkyl Benzoate,Emollients,Emollient; Skin conditioning,68411-27-8,Alkyl Benzoate,Light ester emollient frequently used in sunscreens and lotions to improve spreadability.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Caprylic/Capric Triglyceride,Emollients,Emollient; Skin conditioning,73398-61-5,Medium-chain triglycerides; MCT,"Light emollient blend widely used in creams, lotions and sunscreens.",https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Isopropyl Palmitate,Emollients,Emollient; Skin conditioning,142-91-6,IPP,Fatty ester used to improve spreadability and emollience.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Cetearyl Glucoside,Emulsifiers,Emulsifying; Surfactant,246159-33-1,Cetearyl Polyglucoside,Sugar-based emulsifier frequently paired with cetearyl alcohol.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Glyceryl Stearate,Emulsifiers,Emollient; Emulsifying,31566-31-1,Glycerol Monostearate,Common emulsifier and emollient in creams and lotions.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
PEG-100 Stearate,Emulsifiers,Emulsifying; Surfactant,,PEG-100 Glyceryl Stearate,Nonionic emulsifier frequently paired with glyceryl stearate in creams and lotions.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Sorbitan Stearate,Emulsifiers,Emulsifying; Surfactant,1338-41-6,Span 60,Nonionic emulsifier often paired with polysorbates in creams and lotions.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Glycol Distearate,Emulsifiers / Opacifiers,Emollient; Emulsifying; Opacifying,627-83-8,Ethylene Glycol Distearate,Pearlescent emollient and opacifier used especially in cleansing products.,https://pubchem.ncbi.nlm.nih.gov/compound/61174
Glycol Stearate,Emulsifiers / Opacifiers,Emollient; Emulsifying; Opacifying,111-60-4,Ethylene Glycol Monostearate,Emollient and pearlescent/opacity-building ingredient in creams and cleansers.,https://pubchem.ncbi.nlm.nih.gov/compound/24762
Polysorbate 60,Emulsifiers / Solubilizers,Emulsifying; Surfactant,9005-67-8,Tween 60,"Nonionic emulsifier used in creams, lotions and dispersed systems.",https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Polysorbate 80,Emulsifiers / Solubilizers,Emulsifying; Surfactant,9005-65-6,Tween 80,Nonionic emulsifier and solubilizer used in oil-in-water systems.,https://pubchem.ncbi.nlm.nih.gov/compound/443315
Caprylic Acid,Fatty Acids,Skin conditioning; Emollient,124-07-2,Octanoic Acid,Medium-chain fatty acid used in emollient and multifunctional formulation systems.,https://pubchem.ncbi.nlm.nih.gov/compound/379
Lauric Acid,Fatty Acids,Cleansing; Emulsifying; Skin conditioning,143-07-7,Dodecanoic Acid,Fatty acid used in surfactant systems and emollient formulations.,https://pubchem.ncbi.nlm.nih.gov/compound/3893
Palmitic Acid,Fatty Acids,Emollient; Cleansing; Emulsifying,57-10-3,Hexadecanoic Acid,Fatty acid used in emollient and cleansing systems and to build texture.,https://pubchem.ncbi.nlm.nih.gov/compound/985
Stearic Acid,Fatty Acids,Emollient; Emulsifying; Cleansing,57-11-4,Octadecanoic Acid,"Fatty acid used as an emollient, surfactant component and consistency agent.",https://pubchem.ncbi.nlm.nih.gov/compound/5281
Cetearyl Alcohol,Fatty Alcohols,Emollient; Emulsifying; Viscosity controlling,67762-27-0,Cetostearyl Alcohol,Mixture of fatty alcohols used to thicken and stabilize creams and lotions.,https://pubchem.ncbi.nlm.nih.gov/compound/62238
Cetyl Alcohol,Fatty Alcohols,Emollient; Emulsifying; Viscosity controlling,36653-82-4,1-Hexadecanol,Fatty alcohol that softens skin and stabilizes emulsions; not the same as drying ethanol.,https://pubchem.ncbi.nlm.nih.gov/compound/2682
Alpha-Isomethyl Ionone,Fragrance Allergens,Perfuming,127-51-5,Methyl Ionone,Fragrance ingredient included in cosmetic allergen labeling lists.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Benzyl Benzoate,Fragrance Allergens,Perfuming; Solvent,120-51-4,Benzoic Acid Benzyl Ester,Fragrance/solvent ingredient included in cosmetic allergen labeling lists.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Benzyl Salicylate,Fragrance Allergens,Perfuming; UV absorber,118-58-1,Salicylic Acid Benzyl Ester,Fragrance component included in cosmetic allergen labeling lists.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Citral,Fragrance Allergens,Perfuming,5392-40-5,Geranial/Neral mixture,Fragrance ingredient subject to EU allergen labeling requirements above specified thresholds.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Citronellol,Fragrance Allergens,Perfuming,106-22-9,"3,7-Dimethyl-6-octen-1-ol",Fragrance ingredient subject to allergen labeling requirements in the EU above specified thresholds.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Coumarin,Fragrance Allergens,Perfuming,91-64-5,"1,2-Benzopyrone",Fragrance ingredient included in cosmetic allergen labeling lists.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Eugenol,Fragrance Allergens,Perfuming,97-53-0,4-Allyl-2-methoxyphenol,Fragrance component included in cosmetic allergen labeling lists.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Geraniol,Fragrance Allergens,Perfuming,106-24-1,Geranyl Alcohol,Fragrance ingredient recognized in cosmetic allergen labeling frameworks.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Hexyl Cinnamal,Fragrance Allergens,Perfuming,101-86-0,Hexyl Cinnamaldehyde,Fragrance ingredient recognized as a cosmetic allergen for labeling purposes.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Hydroxycitronellal,Fragrance Allergens,Perfuming,107-75-5,Hydroxycitronellal,Fragrance allergen with specific EU regulatory attention and SCCS review activity.,https://health.ec.europa.eu/scientific-committees/scientific-committee-consumer-safety-sccs/sccs-mandates_en
Isoeugenol,Fragrance Allergens,Perfuming,97-54-1,Isoeugenol,Fragrance component subject to EU restrictions and allergen labeling provisions.,https://eur-lex.europa.eu/eli/reg/2023/1545
Limonene,Fragrance Allergens,Perfuming; Deodorant,138-86-3,d-Limonene; Dipentene,Fragrance ingredient that can require allergen labeling in the EU above specified thresholds.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Linalool,Fragrance Allergens,Perfuming; Deodorant,78-70-6,Linalol,Fragrance ingredient recognized as a common cosmetic allergen/sensitizer for labeling purposes.,https://www.fda.gov/cosmetics/cosmetic-ingredients/allergens-cosmetics
Parfum,Fragrance Mixtures,Perfuming,,Fragrance; Aroma,Label term that may represent a proprietary mixture rather than a single chemical; exact components may not be individually disclosed in some jurisdictions.,https://www.fda.gov/cosmetics/cosmetic-ingredients/fragrances-cosmetics
Betaine,Humectants,Humectant; Skin conditioning,107-43-7,Trimethylglycine,Osmolyte and humectant used to reduce dryness and support skin feel.,https://pubchem.ncbi.nlm.nih.gov/compound/247
Butylene Glycol,Humectants,Humectant; Solvent; Skin conditioning,107-88-0,"1,3-Butanediol",Humectant and solvent commonly used in serums and moisturizers.,https://pubchem.ncbi.nlm.nih.gov/compound/7896
Caprylyl Glycol,Humectants,Humectant; Skin conditioning,1117-86-8,"1,2-Octanediol",Humectant and skin-conditioning ingredient often used as a preservative booster.,https://pubchem.ncbi.nlm.nih.gov/compound/14231
Glycerin,Humectants,Humectant; Skin conditioning,56-81-5,Glycerol,Widely used humectant that helps retain water in the stratum corneum.,https://pubchem.ncbi.nlm.nih.gov/compound/753
Pentylene Glycol,Humectants,Humectant; Solvent; Skin conditioning,5343-92-0,"1,2-Pentanediol",Humectant and multifunctional solvent that can also support preservation systems.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Propanediol,Humectants,Humectant; Solvent,504-63-2,"1,3-Propanediol",Humectant and solvent widely used in modern water-based skincare formulas.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Propylene Glycol,Humectants,Humectant; Solvent; Skin conditioning,57-55-6,"1,2-Propanediol",Humectant and solvent used to improve hydration and ingredient delivery.,https://pubchem.ncbi.nlm.nih.gov/compound/1030
Sodium PCA,Humectants,Humectant; Skin conditioning,28874-51-3,Sodium Pyrrolidone Carboxylate,Component of the skin's natural moisturizing factor used as a humectant.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Urea,Humectants,Humectant; Skin conditioning; Keratolytic at higher levels,57-13-6,Carbamide,Humectant that also has keratolytic effects at higher concentrations.,https://pubchem.ncbi.nlm.nih.gov/compound/1176
"1,2-Hexanediol",Humectants / Preservative Boosters,Humectant; Solvent; Skin conditioning,6920-22-5,"Hexane-1,2-diol",Humectant and multifunctional solvent frequently used to support preservation.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Hyaluronic Acid,Hyaluronic Acid,Skin conditioning - humectant,9004-61-9,HA,"High-molecular-weight humectant naturally found in skin; binds large amounts of water at the surface to plump and hydrate,  but does not penetrate deeply due to molecule size.",https://pubchem.ncbi.nlm.nih.gov/compound/24847767
Sodium Hyaluronate,Hyaluronic Acid,Skin conditioning - humectant,9067-32-7,Hyaluronic Acid Sodium Salt,"Salt form of hyaluronic acid; smaller and more water-soluble than HA itself,  so it penetrates slightly deeper while retaining strong water-binding capacity (up to ~1000x its weight).",https://cymitquimica.com/cas/9067-32-7/
Kojic Acid,Kojic Acid,Skin conditioning,501-30-4,5-Hydroxy-2-(hydroxymethyl)-4H-pyran-4-one,Skin-brightening ingredient with an SCCS safety opinion in the EU.,https://health.ec.europa.eu/publications/kojic-acid_en
Capryloyl Salicylic Acid,LHA,Skin conditioning; Exfoliant,70424-62-3,LHA; Lipohydroxy Acid,Lipophilic salicylic-acid derivative used in exfoliating skincare.,COSING
Niacinamide,Niacinamide,Skin conditioning; Soothing agent,98-92-0,Nicotinamide; Vitamin B3,"Multitasking actives that strengthens the skin barrier,  reduces redness/inflammation,  regulates sebum,  and fades post-acne marks; pairs well with most other actives.",https://www.specialchem.com/cosmetics/inci-ingredients/niacinamide
Petrolatum,Occlusives,Skin conditioning; Emollient; Occlusive,8009-03-8,Petroleum Jelly,Occlusive emollient that reduces transepidermal water loss.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Gluconolactone,PHAs,Humectant; Skin conditioning; Chelating,90-80-2,Glucono-delta-lactone; GDL,Polyhydroxy-acid/lactone ingredient used for gentle exfoliation and humectancy.,https://pubchem.ncbi.nlm.nih.gov/compound/7027
Lactobionic Acid,PHAs,Humectant; Skin conditioning; Chelating,96-82-2,4-O-beta-D-Galactopyranosyl-D-gluconic Acid,Polyhydroxy/bionic acid used in hydrating exfoliating formulations.,https://pubchem.ncbi.nlm.nih.gov/compound/3037556
Butylparaben,Parabens,Preservative,94-26-8,Butyl Parahydroxybenzoate,Paraben preservative subject to regulatory concentration restrictions in some jurisdictions.,https://pubchem.ncbi.nlm.nih.gov/compound/7184
Ethylparaben,Parabens,Preservative,120-47-8,Ethyl Parahydroxybenzoate,Paraben preservative used in cosmetic formulations.,https://pubchem.ncbi.nlm.nih.gov/compound/8434
Methylparaben,Parabens,Preservative,99-76-3,Methyl Parahydroxybenzoate,Paraben preservative used to control microbial growth in cosmetics.,https://pubchem.ncbi.nlm.nih.gov/compound/7456
Propylparaben,Parabens,Preservative,94-13-3,Propyl Parahydroxybenzoate,Paraben preservative used in cosmetic products under applicable concentration limits.,https://pubchem.ncbi.nlm.nih.gov/compound/7175
Acetyl Hexapeptide-8,Peptides,Skin conditioning (reported; not itemized as a distinct function in CosIng search),616204-22-9,Argireline; Acetyl Hexapeptide-3; Acetyl Hexapeptide-8 Amide,"Synthetic hexapeptide marketed as a topical 'Botox alternative': competes for a position in the SNARE/SNAP-25 vesicle-fusion complex to modestly reduce neurotransmitter release at the neuromuscular junction, softening expression lines. CIR's safe-use conclusion applies only up to 0.005% -- far below the 10% used in some clinical efficacy trials, so real-world leave-on products are dosed nowhere near the concentrations that generated the headline efficacy data.",https://en.wikipedia.org/wiki/Acetyl_hexapeptide-8
Copper Tripeptide-1,Peptides,Skin conditioning,,GHK-Cu; Copper Peptide,Copper-complexed tripeptide used in skin-conditioning and repair-focused formulations.,COSING
Palmitoyl Pentapeptide-4,Peptides,Skin conditioning (signal peptide; not separately itemized in CosIng search),214047-00-4,Matrixyl; Pal-KTTKS,"Signal peptide (5 amino acids + palmitic acid chain) that ""tricks"" fibroblasts into producing more collagen and hyaluronic acid; well-studied anti-wrinkle ingredient effective at very low doses.",https://en.wikipedia.org/wiki/Palmitoyl_pentapeptide-4
Palmitoyl Tetrapeptide-7,Peptides,"Skin conditioning (reported; general peptide category function, not separately itemized in CosIng search)",221227-05-0,Pal-GQPR; N-Palmitoylrigin; Matrixyl 3000 (component),Palmitic-acid-conjugated GQPR signal peptide; the second half of the 'Matrixyl 3000' blend alongside Palmitoyl Tripeptide-1. Used at very low levels (typically under 10ppm) to signal fibroblasts toward collagen/ECM production and reported to modulate inflammatory (IL-6) signaling associated with skin aging.,https://en.wikipedia.org/wiki/Palmitoyl_tetrapeptide-7
Palmitoyl Tripeptide-1,Peptides,"Skin conditioning (reported; general peptide category function, not separately itemized in CosIng search)",147732-56-7,Palmitoyl Oligopeptide (retired INCI name); Pal-GHK; Palmitoyl-GHK Tripeptide; Matrixyl 3000 (component),"Palmitic-acid-conjugated fragment of the GHK collagen-signal peptide; co-formulated with Palmitoyl Tetrapeptide-7 as 'Matrixyl 3000' to stimulate collagen I/III/IV and fibronectin synthesis. Previously sold under the INCI name 'Palmitoyl Oligopeptide', which the INCI dictionary retired for being too vague (it covered more than one undefined peptide sequence) -- treat that older name as a legacy/indirect match, not an exact one.",https://incidecoder.com/ingredients/palmitoyl-tripeptide-1
Ethylhexylglycerin,Preservative Boosters,Skin conditioning; Deodorant; Preservative booster,70445-33-9,Octoxyglycerin,Multifunctional conditioning ingredient often used to boost preservative systems.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Caprylhydroxamic Acid,Preservatives,Preservative; Chelating,7377-03-9,CHA,Organic acid derivative used in alternative preservative systems.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Chlorphenesin,Preservatives,Preservative,104-29-0,Chlorphenesin,Preservative used in cosmetic and personal-care formulations.,https://pubchem.ncbi.nlm.nih.gov/compound/7697
Phenoxyethanol,Preservatives,Preservative,122-99-6,2-Phenoxyethanol,Widely used preservative in leave-on and rinse-off cosmetics.,https://pubchem.ncbi.nlm.nih.gov/compound/31236
Potassium Sorbate,Preservatives,Preservative,24634-61-5,Sorbic Acid Potassium Salt,Preservative used especially in lower-pH formulations.,https://pubchem.ncbi.nlm.nih.gov/compound/23676745
Sodium Benzoate,Preservatives,Preservative,532-32-1,Benzoic Acid Sodium Salt,Preservative commonly used in acidic cosmetic formulations.,https://pubchem.ncbi.nlm.nih.gov/compound/517055
Benzyl Alcohol,Preservatives / Fragrance Allergens,Preservative; Solvent; Fragrance,100-51-6,Phenylmethanol,"Can serve as preservative, solvent or fragrance component and is a recognized fragrance allergen for labeling purposes in the EU.",https://pubchem.ncbi.nlm.nih.gov/compound/244
Adapalene,Retinoid Drug,Drug active - not a standard cosmetic INCI role,106685-40-9,Differin,Synthetic retinoid regulated as a topical acne drug rather than a conventional cosmetic ingredient.,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=164f52fa-3050-3eea-e063-6394a90a6f70
Retinal,Retinoids,Skin conditioning,116-31-4,Retinaldehyde; Vitamin A Aldehyde,Retinoid aldehyde used in some cosmetic formulations; one oxidation step from retinoic acid.,https://pubchem.ncbi.nlm.nih.gov/compound/638034
Retinaldehyde,Retinoids,Skin conditioning (reported; not separately confirmed in CosIng search),116-31-4,Retinal; Vitamin A Aldehyde,"Intermediate between retinol and retinoic acid in the conversion pathway; considered more potent than retinol with a faster visible effect,  still one enzymatic step gentler than prescription retinoic acid.",https://pubchem.ncbi.nlm.nih.gov/compound/638034
Retinol,Retinoids,Skin conditioning,68-26-8,Vitamin A,"Gold-standard OTC retinoid; converts in-skin to retinoic acid to speed cell turnover,  boost collagen,  and fade fine lines/pigmentation. Regulated under EU Annex III concentration limits.",https://www.specialchem.com/cosmetics/inci-ingredients/retinol
Retinyl Acetate,Retinoids,Skin conditioning,127-47-9,Vitamin A Acetate,Vitamin A ester covered in SCCS vitamin A safety assessments.,https://pubchem.ncbi.nlm.nih.gov/compound/638014
Retinyl Palmitate,Retinoids,Skin conditioning,79-81-2,Vitamin A Palmitate,"Ester of retinol and palmitic acid; the mildest,  most stable retinoid ester,  needs more conversion steps in skin so it is gentler but less potent than retinol.",https://en.wikipedia.org/wiki/Retinyl_palmitate
Salicylic Acid,Salicylic Acid (BHA),Antiseborrhoeic agent; Keratolytic agent; Skin conditioning,69-72-7,BHA; 2-Hydroxybenzoic Acid,Oil-soluble beta hydroxy acid that penetrates into sebum-filled pores to exfoliate and unclog them; standard acne and blackhead treatment.,https://cosmeticobs.com/en/ingredients/salicylic-acid-533
Capryloyl Glycine,Sebum / Skin Conditioning,Skin conditioning,14246-53-8,Octanoyl Glycine,"Amino-acid derivative used in oily-skin, deodorant and skin-conditioning formulas.",https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Zinc PCA,Sebum / Soothing,Skin conditioning; Humectant,15454-75-8,Zinc Pyrrolidone Carboxylate,Zinc salt of PCA used in oily-skin and sebum-focused formulations.,COSING
Cyclopentasiloxane,Silicones,Emollient; Solvent,541-02-6,D5,Volatile silicone used for slip and a light after-feel.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Dimethicone,Silicones,Skin conditioning; Emollient; Antifoaming,63148-62-9,Polydimethylsiloxane,"Silicone polymer used for slip, barrier support and reduced water loss.",https://pubchem.ncbi.nlm.nih.gov/compound/24705
Polysorbate 20,Solubilizers / Surfactants,Surfactant; Solubilising; Emulsifying,9005-64-5,Tween 20,Nonionic surfactant and solubilizer commonly used for fragrance and oil dispersion.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Water,Solvents,Solvent,7732-18-5,Aqua,Primary solvent in many skincare formulas.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Allantoin,Supporting/Barrier,Skin conditioning,97-59-6,5-Ureidohydantoin; Glyoxyldiureide,"Small soothing/healing molecule (a purine metabolite, also found in comfrey root) that increases skin smoothness, has mild keratolytic action encouraging shedding of dead surface cells, and calms irritation; one of the most established de-sensitizing additives, commonly included alongside stronger actives (acids, retinoids, benzoyl peroxide) specifically to offset their irritation. CIR-safe up to 2%.",https://cosmeticscience.net/allantoin/
Bakuchiol,Supporting/Barrier,Antioxidant; Emollient; Skin conditioning (reported via secondary ingredient databases; not independently confirmed via direct CosIng search this pass),10309-37-2,Sytenol A; UP-256; 'natural retinol alternative',"Plant-derived (Psoralea corylifolia seed) meroterpenoid marketed as a gentler alternative to retinol. The key head-to-head RCT (Dhaliwal et al., Br J Dermatol 2019) found 0.5% bakuchiol twice-daily produced statistically comparable improvement in wrinkles and hyperpigmentation to 0.5% retinol every day/every-other-day over 12 weeks, with significantly LESS scaling and stinging reported in the bakuchiol arm. It appears to upregulate similar collagen genes (COL1A1/COL3A1) and downregulate MMPs, but through a different mechanism than direct retinoic-acid-receptor binding -- so it is a reasonable retinoid-intolerant substitute, not a proven pharmacological equivalent.",https://onlinelibrary.wiley.com/doi/10.1111/bjd.16918
Centella Asiatica Extract,Supporting/Barrier,Skin conditioning - humectant; Smoothing; Soothing; Tonic,84696-21-9,Cica; Gotu Kola Extract; Tiger Grass Extract,"Botanical extract standardized for triterpenoid actives (asiaticoside, madecassoside, asiatic acid, madecassic acid) with anti-inflammatory, wound-healing, and mild collagen-supportive effects; widely marketed as 'Cica' in barrier-repair and post-procedure/soothing formulas. As a whole-plant extract it is not a single defined chemical (see pubchem_safety.csv note), so composition and potency vary by supplier and extraction method.",https://www.specialchem.com/cosmetics/inci-ingredients/centella-asiatica-extract
Panthenol,Supporting/Barrier,Antistatic; Hair conditioning; Skin conditioning,16485-10-2,"Pro-Vitamin B5; Pantothenol; Dexpanthenol/D-Panthenol (single-enantiomer form, CAS 81-13-0 -- not independently re-verified this pass)","Alcohol form of pantothenic acid (vitamin B5); converts to pantothenic acid in skin, where it improves hydration/water retention, supports barrier repair, and has mild anti-inflammatory/itch-soothing effects. Extremely well tolerated; one of the most common 'safe to pair with anything' actives, often included specifically to offset irritation from retinoids or acids.",https://www.specialchem.com/cosmetics/inci-ingredients/panthenol
